School,SRC School ID,ULCS Code,Report,Rpt Type Long,Street Address,City,State,Zip Code,Phone Number,Fax Number,Governance,Turnaround Model,Enrollment,Website,Grades Served,Admissions Type,Peer Group,2017-18 Learning Network,2018-19 Learning Network,Overall Score,Overall Pts Earn,Overall Pts Poss,Overall Tier,Overall Peer Rank,Overall City Rank,Ach Score,Ach Pts Earn,Ach Pts Poss,Ach Tier,Ach Peer Rank,Ach City Rank,Prog Score,Prog Pts Earn,Prog Pts Poss,Prog Tier,Prog Peer Rank,Prog City Rank,Clim Score,Clim Pts Earn,Clim Pts Poss,Clim Tier,Clim Peer Rank,Clim City Rank,CC Score,CC Pts Earn,CC Pts Poss,CC Tier,CC Peer Rank,CC City Rank,Keystone Alg1 Prof/Adv Score,Keystone Alg1 Prof/Adv Denom,Keystone Alg1 Prof/Adv Pts Earn,Keystone Alg1 Prof/Adv Pts Poss,Keystone Alg1 Prof/Adv Pct Earn,Keystone Alg1 Prof/Adv Tier,Keystone GR9 Alg1 Prof/Adv Score,Keystone GR9 Alg1 Prof/Adv Denom,Keystone Alg1 Adv Score,Keystone Alg1 Adv Denom,Keystone Alg1 Adv Pts Earn,Keystone Alg1 Adv Pts Poss,Keystone Alg1 Adv Pct Earn,Keystone Alg1 Adv Tier,Keystone Bio Prof/Adv Score,Keystone Bio Prof/Adv Denom,Keystone Bio Prof/Adv Pts Earn,Keystone Bio Prof/Adv Pts Poss,Keystone Bio Prof/Adv Pct Earn,Keystone Bio Prof/Adv Tier,Keystone Bio Adv Score,Keystone Bio Adv Denom,Keystone Bio Adv Pts Earn,Keystone Bio Adv Pts Poss,Keystone Bio Adv Pct Earn,Keystone Bio Adv Tier,Keystone Lit Prof/Adv Score,Keystone Lit Prof/Adv Denom,Keystone Lit Prof/Adv Pts Earn,Keystone Lit Prof/Adv Pts Poss,Keystone Lit Prof/Adv Pct Earn,Keystone Lit Prof/Adv Tier,Keystone Lit Adv Score,Keystone Lit Adv Denom,Keystone Lit Adv Pts Earn,Keystone Lit Adv Pts Poss,Keystone Lit Adv Pct Earn,Keystone Lit Adv Tier,ACCESS Prof Score,ACCESS Prof Denom,ACCESS Prof Pts Earn,ACCESS Prof Pts Poss,ACCESS Prof Pct Earn,ACCESS Prof Tier,Keystone Alg1 AGI Score,Keystone Alg1 AGI Pts Earn,Keystone Alg1 AGI Pts Poss,Keystone Alg1 AGI Pct Earn,Keystone Alg1 AGI Tier,Keystone Bio AGI Score,Keystone Bio AGI Pts Earn,Keystone Bio AGI Pts Poss,Keystone Bio AGI Pct Earn,Keystone Bio AGI Tier,Keystone Lit AGI Score,Keystone Lit AGI Pts Earn,Keystone Lit AGI Pts Poss,Keystone Lit AGI Pct Earn,Keystone Lit AGI Tier,Stay On Track Score,Stay On Track Denom,Stay On Track Pts Earn,Stay On Track Pts Poss,Stay On Track Pct Earn,Stay On Track Tier,Back On Track Score,Back On Track Denom,Back On Track Pts Earn,Back On Track Pts Poss,Back On Track Pct Earn,Back On Track Tier,ACCESS Growth Score,ACCESS Growth Denom,ACCESS Growth Pts Earn,ACCESS Growth Pts Poss,ACCESS Growth Pct Earn,ACCESS Growth Tier,Keystone Alg1 AGI (L33P) Score,Keystone Alg1 AGI (L33P) Pts Earn,Keystone Alg1 AGI (L33P) Pts Poss,Keystone Alg1 AGI (L33P) Pct Earn,Keystone Alg1 AGI (L33P) Tier,Keystone Bio AGI (L33P) Score,Keystone Bio AGI (L33P) Pts Earn,Keystone Bio AGI (L33P) Pts Poss,Keystone Bio AGI (L33P) Pct Earn,Keystone Bio AGI (L33P) Tier,Keystone Lit AGI (L33P) Score,Keystone Lit AGI (L33P) Pts Earn,Keystone Lit AGI (L33P) Pts Poss,Keystone Lit AGI (L33P) Pct Earn,Keystone Lit AGI (L33P) Tier,Attendance (95%+) Score,Attendance (95%+) Denom,Attendance (95%+) Pts Earn,Attendance (95%+) Pts Poss,Attendance (95%+) Pct Earn,Attendance (95%+) Tier,Attendance (90%-95%) Score,Attendance (90%-95%) Denom,Attendance (85%-90%) Score,Attendance (85%-90%) Denom,Attendance (80%-85%) Score,Attendance (80%-85%) Denom,Attendance (<80%) Score,Attendance (<80%) Denom,Retention Score,Retention Denom,Retention Pts Earn,Retention Pts Poss,Retention Pct Earn,Retention Tier,ISS Score,ISS Denom,ISS Pts Earn,ISS Pts Poss,ISS Pct Earn,ISS Tier,OSS Score,OSS Denom,OSS Pts Earn,OSS Pts Poss,OSS Pct Earn,OSS Tier,Student Survey Climate Score,Student Survey Climate Pts Earn,Student Survey Climate Pts Poss,Student Survey Climate Pct Earn,Student Survey Climate Tier,Parent Survey Climate Score,Parent Survey Climate Pts Earn,Parent Survey Climate Pts Poss,Parent Survey Climate Pct Earn,Parent Survey Climate Tier,Parent Survey Participation Score,Parent Survey Participation Pts Earn,Parent Survey Participation Pts Poss,Parent Survey Participation Pct Earn,Parent Survey Participation Tier,Grad Score,Grad Denom,Grad Pts Earn,Grad Pts Poss,Grad Pct Earn,Grad Tier,FF Matric Score,FF Matric Denom,FF Matric Pts Earn,FF Matric Pts Poss,FF Matric Pct Earn,FF Matric Tier,AP/IB/NOCTI Score,AP/IB/NOCTI Denom,AP/IB/NOCTI Pts Earn,AP/IB/NOCTI Pts Poss,AP/IB/NOCTI Pct Earn,AP/IB/NOCTI Tier,AP/IB/NOCTI (Participants) Score,AP/IB/NOCTI (Participants) Denom,AP/IB/NOCTI (Non-Participants) Score,AP/IB/NOCTI (Non-Participants) Denom,ACT/SAT Score,ACT/SAT Denom,ACT/SAT Pts Earn,ACT/SAT Pts Poss,ACT/SAT Pct Earn,ACT/SAT Tier,ACT/SAT (Participants) Score,ACT/SAT (Participants) Denom,ACT/SAT (Non-Participants) Score,ACT/SAT (Non-Participants) Denom,FAFSA Score,FAFSA Denom,FAFSA Pts Earn,FAFSA Pts Poss,FAFSA Pct Earn,FAFSA Tier,Student Survey College & Career Score,Student Survey College & Career Pts Earn,Student Survey College & Career Pts Poss,Student Survey College & Career Pct Earn,Student Survey College & Career Tier,Teach Effect Distinguished Score,Teach Effect Instruction Score,Teacher Attendance Score,Student Survey Teaching Score
John Bartram High School,101,1010,HS,High School,2401 S. 67th St.,Philadelphia,PA,19142,215-400-8100,215-400-8101,District,N/A,561,philasd.org/bartram,'9-12',Neighborhood,HS-1,Network 1,Network 13,13,13.11,98,INTERVENE,11th out of 23,70th out of 83,0,0.02,30,INTERVENE,17th out of 19,75th out of 77,25,9.53,38,WATCH,6th out of 23,50th out of 83,15,3.02,20,INTERVENE,15th out of 23,75th out of 83,6,0.55,10,INTERVENE,15th out of 22,74th out of 81,3,331,0,8,0,INTERVENE,2,100,0,331,0.02,1.5,1,INTERVENE,4,173,0,8,0,INTERVENE,0,173,0,1.5,0,INTERVENE,8,181,0,8,0,INTERVENE,0,181,0,1.5,0,INTERVENE,0,26,0,1.5,0,INTERVENE,-3.23,0,6.5,0,INTERVENE,-2.6,0,6.5,0,INTERVENE,-3.3,0,6.5,0,INTERVENE,92,214,5.88,8,74,REINFORCE,51,49,1.32,6,22,INTERVENE,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,2.47,1.5,1.5,100,MODEL,0.64,0.82,1.5,55,REINFORCE,-1.39,0,1.5,0,INTERVENE,26,742,1,8,13,INTERVENE,17,742,12,742,9,742,35,742,71,523,0,6,0,INTERVENE,99,742,0.47,0.5,95,MODEL,82,742,1.02,2.5,41,WATCH,52,0.52,1,52,REINFORCE,0,0,1,0,INTERVENE,2,0,1,0,INTERVENE,67,183,0,4.5,0,INTERVENE,25,140,0,1.5,0,INTERVENE,0,117,0,1,0,INTERVENE,1,117,99,117,1,117,0,1,0,INTERVENE,66,117,33,117,36,117,0.22,1,22,INTERVENE,33,0.33,1,33,WATCH,Data Not Available,Data Not Available,52,43
West Philadelphia High School,102,1020,HS,High School,4901 Chestnut St.,Philadelphia,PA,19139,215-400-7900,215-400-7901,District,Turnaround,478,philasd.org/wphs,'9-12',Neighborhood,HS-1,Turnaround,Acceleration,8,7.91,96.5,INTERVENE,17th out of 23,77th out of 83,0,0,28.5,INTERVENE,19th out of 19,77th out of 77,18,6.72,38,INTERVENE,10th out of 23,67th out of 83,4,0.78,20,INTERVENE,22nd out of 23,82nd out of 83,4,0.42,10,INTERVENE,19th out of 22,78th out of 81,2,209,0,8,0,INTERVENE,2,63,0,209,0,1.5,0,INTERVENE,7,124,0,8,0,INTERVENE,0,124,0,1.5,0,INTERVENE,11,122,0,8,0,INTERVENE,0,122,0,1.5,0,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,0.08,2.34,6.5,36,WATCH,-1.17,0,6.5,0,INTERVENE,-3.5,0,6.5,0,INTERVENE,78,227,2.01,8,25,WATCH,33,79,0,6,0,INTERVENE,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,3.63,1.5,1.5,100,MODEL,0.74,0.87,1.5,58,REINFORCE,-1.18,0,1.5,0,INTERVENE,14,556,0,8,0,INTERVENE,19,556,13,556,14,556,40,556,74,466,0,6,0,INTERVENE,96,556,0.28,0.5,57,REINFORCE,76,556,0.49,2.5,20,INTERVENE,0,0,1,0,INTERVENE,0,0,1,0,INTERVENE,8,0,1,0,INTERVENE,66,105,0,4.5,0,INTERVENE,25,80,0,1.5,0,INTERVENE,8,72,0,1,0,INTERVENE,32,72,60,72,4,72,0,1,0,INTERVENE,71,72,25,72,46,72,0.42,1,42,WATCH,0,0,1,0,INTERVENE,Data Not Available,Data Not Available,49,0
High School of the Future,103,1030,HS,High School,4021 Parkside Ave.,Philadelphia,PA,19104,215-400-7790,215-400-7791,District,N/A,488,philasd.org/sof,'9-12',Citywide,HS-3,Network 2,Network 1,25,23.77,96.5,WATCH,14th out of 15,57th out of 83,0,0.03,28.5,INTERVENE,14th out of 15,73rd out of 77,19,7.14,38,INTERVENE,15th out of 15,64th out of 83,65,12.93,20,REINFORCE,7th out of 15,36th out of 83,37,3.67,10,WATCH,10th out of 15,45th out of 81,3,171,0,8,0,INTERVENE,4,92,0,171,0,1.5,0,INTERVENE,6,86,0,8,0,INTERVENE,0,86,0,1.5,0,INTERVENE,20,64,0.03,8,0,INTERVENE,0,64,0,1.5,0,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,-6.84,0,6.5,0,INTERVENE,-0.58,0.91,6.5,14,INTERVENE,-4.99,0,6.5,0,INTERVENE,89,307,5.05,8,63,REINFORCE,25,36,0,6,0,INTERVENE,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-3.24,0,1.5,0,INTERVENE,1.36,1.18,1.5,79,MODEL,-3.08,0,1.5,0,INTERVENE,48,493,4.43,8,55,REINFORCE,27,493,12,493,5,493,8,493,89,476,6,6,100,MODEL,100,493,0.5,0.5,100,MODEL,87,493,1.45,2.5,58,REINFORCE,55,0.55,1,55,REINFORCE,0,0,1,0,INTERVENE,2,0,1,0,INTERVENE,86,95,2.04,4.5,45,WATCH,44,93,0.52,1.5,35,WATCH,0,99,0,1,0,INTERVENE,26,99,74,99,2,99,0,1,0,INTERVENE,86,99,12,99,61,99,0.71,1,71,REINFORCE,40,0.4,1,40,WATCH,Data Not Available,Data Not Available,56,36
Paul Robeson High School for Human Services,105,1050,HS,High School,4125 Ludlow St.,Philadelphia,PA,19104,215-400-7780,215-400-7781,District,N/A,299,philasd.org/robeson,'9-12',Citywide,HS-2,Network 2,Network 1,44,39.71,90.5,WATCH,6th out of 17,32nd out of 83,3,0.85,28.5,INTERVENE,11th out of 17,52nd out of 77,65,20.91,32,REINFORCE,7th out of 17,19th out of 83,62,12.46,20,REINFORCE,6th out of 17,41st out of 83,55,5.5,10,REINFORCE,1st out of 16,22nd out of 81,11,211,0,8,0,INTERVENE,7,70,0,211,0,1.5,0,INTERVENE,11,217,0,8,0,INTERVENE,0,217,0,1.5,0,INTERVENE,28,144,0.85,8,11,INTERVENE,0,144,0,1.5,0,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,1,4.33,6.5,67,REINFORCE,0.19,2.58,6.5,40,WATCH,1.7,5.85,6.5,90,MODEL,87,186,4.56,8,57,REINFORCE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,2.4,1.5,1.5,100,MODEL,1.73,1.37,1.5,91,MODEL,0.45,0.73,1.5,48,WATCH,35,328,2.36,8,30,WATCH,40,328,13,328,8,328,4,328,93,289,6,6,100,MODEL,100,328,0.49,0.5,97,MODEL,95,328,2.07,2.5,83,MODEL,64,0.64,1,64,REINFORCE,82,0.82,1,82,MODEL,13,0.08,1,8,INTERVENE,95,83,3.63,4.5,81,MODEL,44,80,0.51,1.5,34,WATCH,1,75,0,1,0,INTERVENE,17,75,81,75,1,75,0,1,0,INTERVENE,89,75,9,75,73,75,0.97,1,97,MODEL,39,0.39,1,39,WATCH,Data Not Available,Data Not Available,68,53
William L. Sayre High School,110,1100,HS,High School,5800 Walnut St.,Philadelphia,PA,19139,215-400-7800,215-400-7801,District,N/A,425,philasd.org/sayre,'9-12',Neighborhood,HS-1,Network 2,Network 13,8,7.62,96.5,INTERVENE,18th out of 23,78th out of 83,0,0,28.5,INTERVENE,19th out of 19,77th out of 77,16,5.92,38,INTERVENE,12th out of 23,69th out of 83,8,1.54,20,INTERVENE,20th out of 23,80th out of 83,2,0.16,10,INTERVENE,22nd out of 22,81st out of 81,2,164,0,8,0,INTERVENE,5,66,0,164,0,1.5,0,INTERVENE,5,99,0,8,0,INTERVENE,0,99,0,1.5,0,INTERVENE,10,86,0,8,0,INTERVENE,0,86,0,1.5,0,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,-3.71,0,6.5,0,INTERVENE,-2.08,0,6.5,0,INTERVENE,-2.3,0,6.5,0,INTERVENE,75,170,1.41,8,18,INTERVENE,65,51,2.97,6,49,WATCH,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,0.29,0.65,1.5,43,WATCH,0.8,0.9,1.5,60,REINFORCE,-1.17,0,1.5,0,INTERVENE,14,536,0,8,0,INTERVENE,15,536,11,536,11,536,49,536,67,382,0,6,0,INTERVENE,100,536,0.5,0.5,100,MODEL,82,536,1.04,2.5,42,WATCH,0,0,1,0,INTERVENE,0,0,1,0,INTERVENE,8,0,1,0,INTERVENE,49,136,0,4.5,0,INTERVENE,25,76,0,1.5,0,INTERVENE,0,79,0,1,0,INTERVENE,14,79,86,79,0,79,0,1,0,INTERVENE,68,79,32,79,33,79,0.16,1,16,INTERVENE,0,0,1,0,INTERVENE,Data Not Available,Data Not Available,71,0
Motivation High School,119,1190,HS,High School,5900 Baltimore Ave.,Philadelphia,PA,19143,215-400-7930,215-400-7931,District,N/A,411,philasd.org/motivationhs,'9-12',Special Admit,HS-2,Autonomy,Network 1,30,27.28,92,WATCH,10th out of 17,50th out of 83,3,0.99,30,INTERVENE,10th out of 17,51st out of 77,23,7.2,32,INTERVENE,13th out of 17,56th out of 83,82,16.39,20,MODEL,1st out of 17,16th out of 83,27,2.7,10,WATCH,13th out of 16,55th out of 81,8,241,0,8,0,INTERVENE,10,82,2,241,0.1,1.5,7,INTERVENE,4,216,0,8,0,INTERVENE,1,216,0.06,1.5,4,INTERVENE,13,138,0,8,0,INTERVENE,1,138,0.04,1.5,3,INTERVENE,10,39,0.79,1.5,53,REINFORCE,-4.31,0,6.5,0,INTERVENE,-6.19,0,6.5,0,INTERVENE,-8.69,0,6.5,0,INTERVENE,93,264,6.18,8,77,MODEL,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-0.29,0.36,1.5,24,INTERVENE,0.33,0.67,1.5,44,WATCH,-3.26,0,1.5,0,INTERVENE,68,434,7.6,8,95,MODEL,21,434,5,434,3,434,3,434,86,385,6,6,100,MODEL,100,434,0.5,0.5,100,MODEL,97,434,2.29,2.5,92,MODEL,0,0,1,0,INTERVENE,0,0,1,0,INTERVENE,9,0,1,0,INTERVENE,83,98,1.38,4.5,31,WATCH,48,83,0.63,1.5,42,WATCH,1,84,0,1,0,INTERVENE,80,84,19,84,2,84,0,1,0,INTERVENE,90,84,7,84,60,84,0.69,1,69,REINFORCE,0,0,1,0,INTERVENE,Data Not Available,Data Not Available,54,0
South Philadelphia High School,200,2000,HS,High School,2101 S. Broad St.,Philadelphia,PA,19148,215-400-8400,215-400-8401,District,N/A,559,philasd.org/sphs,'9-12',Neighborhood,HS-1,Network 1,Network 13,12,11.47,98,INTERVENE,13th out of 23,73rd out of 83,1,0.24,30,INTERVENE,7th out of 19,58th out of 77,11,4.19,38,INTERVENE,20th out of 23,79th out of 83,33,6.56,20,WATCH,9th out of 23,66th out of 83,5,0.48,10,INTERVENE,17th out of 22,76th out of 81,3,192,0,8,0,INTERVENE,6,66,1,192,0.03,1.5,2,INTERVENE,4,81,0,8,0,INTERVENE,1,81,0.07,1.5,5,INTERVENE,6,90,0,8,0,INTERVENE,2,90,0.13,1.5,9,INTERVENE,0,103,0,1.5,0,INTERVENE,-3.82,0,6.5,0,INTERVENE,-0.5,1.08,6.5,17,INTERVENE,-1.48,0,6.5,0,INTERVENE,75,238,1.39,8,17,INTERVENE,35,88,0,6,0,INTERVENE,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,0.94,0.97,1.5,65,REINFORCE,0.49,0.75,1.5,50,REINFORCE,-1.21,0,1.5,0,INTERVENE,32,680,1.93,8,24,INTERVENE,21,680,10,680,9,680,27,680,78,534,1.63,6,27,WATCH,100,680,0.5,0.5,100,MODEL,86,680,1.3,2.5,52,REINFORCE,46,0.46,1,46,WATCH,68,0.68,1,68,REINFORCE,13,0.07,1,7,INTERVENE,53,135,0,4.5,0,INTERVENE,27,90,0.05,1.5,3,INTERVENE,6,115,0,1,0,INTERVENE,15,115,79,115,1,115,0,1,0,INTERVENE,46,115,53,115,31,115,0.13,1,13,INTERVENE,31,0.31,1,31,WATCH,Data Not Available,Data Not Available,56,39
Benjamin Franklin High School,201,2010,HS,High School,550 N. Broad St.,Philadelphia,PA,19130,215-400-7600,215-400-7601,District,N/A,506,philasd.org/bfhs,'9-12',Neighborhood,HS-1,Network 3,Network 3,6,5.41,98,INTERVENE,23rd out of 23,83rd out of 83,0,0.14,30,INTERVENE,10th out of 19,61st out of 77,8,2.98,38,INTERVENE,23rd out of 23,83rd out of 83,9,1.78,20,INTERVENE,19th out of 23,79th out of 83,5,0.51,10,INTERVENE,16th out of 22,75th out of 81,2,207,0,8,0,INTERVENE,2,81,0,207,0,1.5,0,INTERVENE,16,173,0,8,0,INTERVENE,2,173,0.1,1.5,7,INTERVENE,9,168,0,8,0,INTERVENE,1,168,0.04,1.5,2,INTERVENE,3,31,0,1.5,0,INTERVENE,-6.18,0,6.5,0,INTERVENE,-1.91,0,6.5,0,INTERVENE,-7.08,0,6.5,0,INTERVENE,75,204,1.46,8,18,INTERVENE,24,74,0,6,0,INTERVENE,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-0.42,0.29,1.5,19,INTERVENE,1.45,1.23,1.5,82,MODEL,-2.17,0,1.5,0,INTERVENE,17,621,0,8,0,INTERVENE,19,621,15,621,10,621,38,621,67,465,0,6,0,INTERVENE,100,621,0.49,0.5,98,MODEL,80,621,0.82,2.5,33,WATCH,47,0.47,1,47,WATCH,0,0,1,0,INTERVENE,1,0,1,0,INTERVENE,59,136,0,4.5,0,INTERVENE,20,86,0,1.5,0,INTERVENE,8,84,0,1,0,INTERVENE,10,84,82,84,0,84,0,1,0,INTERVENE,64,84,36,84,37,84,0.24,1,24,INTERVENE,27,0.27,1,27,WATCH,Data Not Available,Data Not Available,49,38
High School for Creative and Performing Arts,202,2020,HS,High School,901 S. Broad St.,Philadelphia,PA,19147,215-400-8140,215-400-8141,District,N/A,707,philasd.org/capa,'9-12',Special Admit,HS-4,Autonomy,Network 1,55,49.78,90.5,REINFORCE,5th out of 9,17th out of 83,46,13.16,28.5,WATCH,3rd out of 9,10th out of 77,35,11.18,32,WATCH,7th out of 9,41st out of 83,93,18.52,20,MODEL,1st out of 9,3rd out of 83,69,6.92,10,REINFORCE,6th out of 9,14th out of 81,33,252,1.29,8,16,INTERVENE,38,160,8,252,0.5,1.5,33,WATCH,55,170,3.47,8,43,WATCH,21,170,1.27,1.5,85,MODEL,79,173,5.86,8,73,REINFORCE,13,173,0.76,1.5,51,REINFORCE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,-6.06,0,6.5,0,INTERVENE,-3.62,0,6.5,0,INTERVENE,0.27,2.75,6.5,42,WATCH,98,506,7.58,8,95,MODEL,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-4.85,0,1.5,0,INTERVENE,-3.1,0,1.5,0,INTERVENE,0.7,0.85,1.5,57,REINFORCE,82,714,8,8,100,MODEL,13,714,2,714,1,714,2,714,98,696,6,6,100,MODEL,100,714,0.5,0.5,100,MODEL,99,714,2.41,2.5,96,MODEL,57,0.57,1,57,REINFORCE,83,0.83,1,83,MODEL,18,0.21,1,21,INTERVENE,95,151,3.55,4.5,79,MODEL,75,146,1.37,1.5,92,MODEL,20,150,0.25,1,25,WATCH,33,150,47,150,30,150,0.5,1,50,REINFORCE,65,150,5,150,81,150,1,1,100,MODEL,25,0.25,1,25,WATCH,Data Not Available,Data Not Available,63,34
Julia R. Masterman School,214,2140,HS,High School,1699 Spring Garden St.,Philadelphia,PA,19130,215-400-7580,215-400-7581,District,N/A,451,philasd.org/masterman,'9-12',Special Admit,HS-5,Autonomy,Network 1,78,63.03,81,MODEL,3rd out of 9,4th out of 83,100,19,19,MODEL,1st out of 9,1st out of 77,51,16.44,32,REINFORCE,5th out of 9,29th out of 83,92,18.46,20,MODEL,2nd out of 9,4th out of 83,91,9.13,10,MODEL,1st out of 9,1st out of 81,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,100,117,8,8,100,MODEL,93,117,1.5,1.5,100,MODEL,100,116,8,8,100,MODEL,59,116,1.5,1.5,100,MODEL,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,-3.15,0,6.5,0,INTERVENE,3.53,6.5,6.5,100,MODEL,-1.73,0,6.5,0,INTERVENE,100,343,8,8,100,MODEL,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-2.09,0,1.5,0,INTERVENE,1.7,1.35,1.5,90,MODEL,0.18,0.59,1.5,39,WATCH,92,451,8,8,100,MODEL,7,451,1,451,0,451,0,451,99,451,6,6,100,MODEL,100,451,0.5,0.5,100,MODEL,100,451,2.48,2.5,99,MODEL,65,0.65,1,65,REINFORCE,82,0.82,1,82,MODEL,11,0.02,1,2,INTERVENE,99,108,4.33,4.5,96,MODEL,97,106,1.5,1.5,100,MODEL,81,106,1,1,100,MODEL,17,106,2,106,100,106,1,1,100,MODEL,0,106,0,106,88,106,1,1,100,MODEL,30,0.3,1,30,WATCH,Data Not Available,Data Not Available,73,57
