School,SRC School ID,ULCS Code,Report,Rpt Type Long,Street Address,City,State,Zip Code,Phone Number,Fax Number,Governance,Turnaround Model,Enrollment,Website,Grades Served,Admissions Type,Peer Group,2018-19 Learning Network,2019-20 Learning Network,Notes,Overall Score,Overall Pts Earn,Overall Pts Poss,Overall Tier,Overall Peer Rank,Overall City Rank,Ach Score,Ach Pts Earn,Ach Pts Poss,Ach Tier,Ach Peer Rank,Ach City Rank,Prog Score,Prog Pts Earn,Prog Pts Poss,Prog Tier,Prog Peer Rank,Prog City Rank,Clim Score,Clim Pts Earn,Clim Pts Poss,Clim Tier,Clim Peer Rank,Clim City Rank,CC Score,CC Pts Earn,CC Pts Poss,CC Tier,CC Peer Rank,CC City Rank,Keystone Alg1 Prof/Adv Score,Keystone Alg1 Prof/Adv Denom,Keystone Alg1 Prof/Adv Pts Earn,Keystone Alg1 Prof/Adv Pts Poss,Keystone Alg1 Prof/Adv Pct Earn,Keystone Alg1 Prof/Adv Tier,Keystone GR9 Alg1 Prof/Adv Score,Keystone GR9 Alg1 Prof/Adv Denom,Keystone Alg1 Adv Score,Keystone Alg1 Adv Denom,Keystone Alg1 Adv Pts Earn,Keystone Alg1 Adv Pts Poss,Keystone Alg1 Adv Pct Earn,Keystone Alg1 Adv Tier,Keystone Bio Prof/Adv Score,Keystone Bio Prof/Adv Denom,Keystone Bio Prof/Adv Pts Earn,Keystone Bio Prof/Adv Pts Poss,Keystone Bio Prof/Adv Pct Earn,Keystone Bio Prof/Adv Tier,Keystone Bio Adv Score,Keystone Bio Adv Denom,Keystone Bio Adv Pts Earn,Keystone Bio Adv Pts Poss,Keystone Bio Adv Pct Earn,Keystone Bio Adv Tier,Keystone Lit Prof/Adv Score,Keystone Lit Prof/Adv Denom,Keystone Lit Prof/Adv Pts Earn,Keystone Lit Prof/Adv Pts Poss,Keystone Lit Prof/Adv Pct Earn,Keystone Lit Prof/Adv Tier,Keystone Lit Adv Score,Keystone Lit Adv Denom,Keystone Lit Adv Pts Earn,Keystone Lit Adv Pts Poss,Keystone Lit Adv Pct Earn,Keystone Lit Adv Tier,ACCESS Prof Score,ACCESS Prof Denom,ACCESS Prof Pts Earn,ACCESS Prof Pts Poss,ACCESS Prof Pct Earn,ACCESS Prof Tier,Keystone Alg1 AGI Score,Keystone Alg1 AGI Pts Earn,Keystone Alg1 AGI Pts Poss,Keystone Alg1 AGI Pct Earn,Keystone Alg1 AGI Tier,Keystone Bio AGI Score,Keystone Bio AGI Pts Earn,Keystone Bio AGI Pts Poss,Keystone Bio AGI Pct Earn,Keystone Bio AGI Tier,Keystone Lit AGI Score,Keystone Lit AGI Pts Earn,Keystone Lit AGI Pts Poss,Keystone Lit AGI Pct Earn,Keystone Lit AGI Tier,Stay On Track Score,Stay On Track Denom,Stay On Track Pts Earn,Stay On Track Pts Poss,Stay On Track Pct Earn,Stay On Track Tier,Back On Track Score,Back On Track Denom,Back On Track Pts Earn,Back On Track Pts Poss,Back On Track Pct Earn,Back On Track Tier,ACCESS Growth Score,ACCESS Growth Denom,ACCESS Growth Pts Earn,ACCESS Growth Pts Poss,ACCESS Growth Pct Earn,ACCESS Growth Tier,Keystone Alg1 AGI (L33P) Score,Keystone Alg1 AGI (L33P) Pts Earn,Keystone Alg1 AGI (L33P) Pts Poss,Keystone Alg1 AGI (L33P) Pct Earn,Keystone Alg1 AGI (L33P) Tier,Keystone Bio AGI (L33P) Score,Keystone Bio AGI (L33P) Pts Earn,Keystone Bio AGI (L33P) Pts Poss,Keystone Bio AGI (L33P) Pct Earn,Keystone Bio AGI (L33P) Tier,Keystone Lit AGI (L33P) Score,Keystone Lit AGI (L33P) Pts Earn,Keystone Lit AGI (L33P) Pts Poss,Keystone Lit AGI (L33P) Pct Earn,Keystone Lit AGI (L33P) Tier,Attendance (95%+) Score,Attendance (95%+) Denom,Attendance (95%+) Pts Earn,Attendance (95%+) Pts Poss,Attendance (95%+) Pct Earn,Attendance (95%+) Tier,Attendance (90%-95%) Score,Attendance (90%-95%) Denom,Attendance (85%-90%) Score,Attendance (85%-90%) Denom,Attendance (80%-85%) Score,Attendance (80%-85%) Denom,Attendance (<80%) Score,Attendance (<80%) Denom,Retention Score,Retention Denom,Retention Pts Earn,Retention Pts Poss,Retention Pct Earn,Retention Tier,ISS Score,ISS Denom,ISS Pts Earn,ISS Pts Poss,ISS Pct Earn,ISS Tier,OSS Score,OSS Denom,OSS Pts Earn,OSS Pts Poss,OSS Pct Earn,OSS Tier,Student Survey Climate Score,Student Survey Climate Pts Earn,Student Survey Climate Pts Poss,Student Survey Climate Pct Earn,Student Survey Climate Tier,Parent Survey Climate Score,Parent Survey Climate Pts Earn,Parent Survey Climate Pts Poss,Parent Survey Climate Pct Earn,Parent Survey Climate Tier,Parent Survey Participation Score,Parent Survey Participation Pts Earn,Parent Survey Participation Pts Poss,Parent Survey Participation Pct Earn,Parent Survey Participation Tier,Grad Score,Grad Denom,Grad Pts Earn,Grad Pts Poss,Grad Pct Earn,Grad Tier,FF Matric Score,FF Matric Denom,FF Matric Pts Earn,FF Matric Pts Poss,FF Matric Pct Earn,FF Matric Tier,AP/IB/NOCTI/Dual Score,AP/IB/NOCTI/Dual Denom,AP/IB/NOCTI/Dual Pts Earn,AP/IB/NOCTI/Dual Pts Poss,AP/IB/NOCTI/Dual Pct Earn,AP/IB/NOCTI/Dual Tier,AP/IB/NOCTI/Dual (Participants) Score,AP/IB/NOCTI/Dual (Participants) Denom,AP/IB/NOCTI/Dual (Non-Participants) Score,AP/IB/NOCTI/Dual (Non-Participants) Denom,ACT/SAT Score,ACT/SAT Denom,ACT/SAT Pts Earn,ACT/SAT Pts Poss,ACT/SAT Pct Earn,ACT/SAT Tier,ACT/SAT (Participants) Score,ACT/SAT (Participants) Denom,ACT/SAT (Non-Participants) Score,ACT/SAT (Non-Participants) Denom,FAFSA Score,FAFSA Denom,FAFSA Pts Earn,FAFSA Pts Poss,FAFSA Pct Earn,FAFSA Tier,Student Survey College & Career Score,Student Survey College & Career Pts Earn,Student Survey College & Career Pts Poss,Student Survey College & Career Pct Earn,Student Survey College & Career Tier,Teach Effect MMS Dist Score,Teach Effect MMS Prof Score,Teacher Attendance Score,Student Survey Teaching Score
John Bartram High School,101,1010,HS,High School,2401 S. 67th St.,Philadelphia,PA,19142,215-400-8100,215-400-8101,District,N/A,534,philasd.org/bartram,'9-12',Neighborhood,HS-1,Network 13,Network 13,,19,18.93,98.00,INTERVENE,12th out of 19,69th out of 85,0,0.04,30.00,INTERVENE,10th out of 14,67th out of 72,31,11.61,38.00,WATCH,7th out of 19,52nd out of 85,34,6.76,20.00,WATCH,14th out of 19,73rd out of 85,5,0.52,10.00,INTERVENE,18th out of 19,79th out of 82,2,248,0.00,8.00,0,INTERVENE,0,105,0,248,0.00,1.50,0,INTERVENE,5,141,0.00,8.00,0,INTERVENE,1,141,0.04,1.50,3,INTERVENE,9,143,0.00,8.00,0,INTERVENE,0,143,0.00,1.50,0,INTERVENE,4,45,0.00,1.50,0,INTERVENE,-2.03,0.00,6.50,0,INTERVENE,0.20,2.60,6.50,40,WATCH,-1.75,0.00,6.50,0,INTERVENE,84,239,3.76,8.00,47,WATCH,62,84,2.63,6.00,44,WATCH,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,1.99,1.50,1.50,100,MODEL,1.25,1.13,1.50,75,MODEL,-1.11,0.00,1.50,0,INTERVENE,25,683,0.88,8.00,11,INTERVENE,16,683,12,683,9,683,37,683,81,458,3.73,6.00,62,REINFORCE,100,683,0.50,0.50,100,MODEL,85,683,1.23,2.50,49,WATCH,42,0.42,1.00,42,WATCH,0,0.00,1.00,0,INTERVENE,5,0.00,1.00,0,INTERVENE,59,159,0.00,4.50,0,INTERVENE,26,103,0.03,1.50,2,INTERVENE,1,106,0.00,1.00,0,INTERVENE,0,106,99,106,2,106,0.00,1.00,0,INTERVENE,70,106,28,106,36,106,0.22,1.00,22,INTERVENE,27,0.27,1.00,27,WATCH,0,91,48,44
West Philadelphia High School,102,1020,HS,High School,4901 Chestnut St.,Philadelphia,PA,19139,215-400-7900,215-400-7901,District,Acceleration,447,philasd.org/wphs,'9-12',Neighborhood,HS-2,Acceleration,Network 13,,22,21.26,96.50,INTERVENE,5th out of 10,66th out of 85,0,0.00,28.50,INTERVENE,7th out of 7,72nd out of 72,41,15.53,38.00,WATCH,5th out of 10,42nd out of 85,24,4.78,20.00,INTERVENE,7th out of 10,79th out of 85,9,0.95,10.00,INTERVENE,4th out of 8,71st out of 82,3,149,0.00,8.00,0,INTERVENE,2,63,0,149,0.00,1.50,0,INTERVENE,5,79,0.00,8.00,0,INTERVENE,0,79,0.00,1.50,0,INTERVENE,14,83,0.00,8.00,0,INTERVENE,0,83,0.00,1.50,0,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,-0.82,0.39,6.50,6,INTERVENE,0.81,3.92,6.50,60,REINFORCE,0.68,3.64,6.50,56,REINFORCE,82,214,3.14,8.00,39,WATCH,35,72,0.00,6.00,0,INTERVENE,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,2.20,1.50,1.50,100,MODEL,3.30,1.50,1.50,100,MODEL,1.88,1.44,1.50,96,MODEL,14,501,0.00,8.00,0,INTERVENE,21,501,16,501,11,501,39,501,79,409,2.68,6.00,45,WATCH,100,501,0.50,0.50,100,MODEL,84,501,1.17,2.50,47,WATCH,43,0.43,1.00,43,WATCH,0,0.00,1.00,0,INTERVENE,9,0.00,1.00,0,INTERVENE,61,114,0.00,4.50,0,INTERVENE,31,85,0.15,1.50,10,INTERVENE,9,82,0.00,1.00,0,INTERVENE,22,82,70,82,1,82,0.00,1.00,0,INTERVENE,67,82,32,82,51,82,0.52,1.00,52,REINFORCE,27,0.27,1.00,27,WATCH,0,96,58,42
High School of the Future,103,1030,HS,High School,4021 Parkside Ave.,Philadelphia,PA,19104,215-400-7790,215-400-7791,District,N/A,552,philasd.org/sof,'9-12',Citywide,HS-3,Network 1,Innovation,,23,21.75,96.50,INTERVENE,20th out of 24,63rd out of 85,0,0.00,28.50,INTERVENE,21st out of 21,72nd out of 72,17,6.49,38.00,INTERVENE,22nd out of 24,77th out of 85,62,12.45,20.00,REINFORCE,11th out of 24,37th out of 85,28,2.81,10.00,WATCH,15th out of 23,50th out of 82,1,141,0.00,8.00,0,INTERVENE,1,137,0,141,0.00,1.50,0,INTERVENE,0,69,0.00,8.00,0,INTERVENE,0,69,0.00,1.50,0,INTERVENE,13,76,0.00,8.00,0,INTERVENE,0,76,0.00,1.50,0,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,-8.06,0.00,6.50,0,INTERVENE,-5.53,0.00,6.50,0,INTERVENE,-5.54,0.00,6.50,0,INTERVENE,93,357,6.13,8.00,77,MODEL,22,41,0.00,6.00,0,INTERVENE,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-1.15,0.00,1.50,0,INTERVENE,-0.28,0.36,1.50,24,INTERVENE,-3.74,0.00,1.50,0,INTERVENE,45,561,3.96,8.00,49,WATCH,25,561,13,561,6,561,11,561,90,518,6.00,6.00,100,MODEL,97,561,0.34,0.50,68,REINFORCE,90,561,1.70,2.50,68,REINFORCE,45,0.45,1.00,45,WATCH,0,0.00,1.00,0,INTERVENE,2,0.00,1.00,0,INTERVENE,82,107,1.30,4.50,29,WATCH,49,89,0.67,1.50,44,WATCH,0,100,0.00,1.00,0,INTERVENE,27,100,73,100,3,100,0.00,1.00,0,INTERVENE,86,100,11,100,54,100,0.58,1.00,58,REINFORCE,26,0.26,1.00,26,WATCH,0,100,34,37
Paul Robeson High School for Human Services,105,1050,HS,High School,4125 Ludlow St.,Philadelphia,PA,19104,215-400-7780,215-400-7781,District,N/A,307,philasd.org/robeson,'9-12',Citywide,HS-3,Network 1,Network 1,,44,40.20,90.50,WATCH,8th out of 24,31st out of 85,6,1.58,28.50,INTERVENE,8th out of 21,41st out of 72,64,20.49,32.00,REINFORCE,8th out of 24,24th out of 85,60,12.04,20.00,REINFORCE,13th out of 24,40th out of 85,61,6.09,10.00,REINFORCE,3rd out of 23,19th out of 82,7,198,0.00,8.00,0,INTERVENE,4,75,1,198,0.03,1.50,2,INTERVENE,13,199,0.00,8.00,0,INTERVENE,1,199,0.06,1.50,4,INTERVENE,34,118,1.39,8.00,17,INTERVENE,2,118,0.10,1.50,7,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,0.60,3.47,6.50,53,REINFORCE,3.13,6.50,6.50,100,MODEL,3.54,6.50,6.50,100,MODEL,71,192,0.36,8.00,5,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,1.43,1.22,1.50,81,MODEL,3.40,1.50,1.50,100,MODEL,0.90,0.95,1.50,63,REINFORCE,38,323,2.84,8.00,36,WATCH,36,323,14,323,6,323,7,323,96,285,6.00,6.00,100,MODEL,100,323,0.50,0.50,100,MODEL,95,323,2.11,2.50,85,MODEL,58,0.58,1.00,58,REINFORCE,0,0.00,1.00,0,INTERVENE,10,0.00,1.00,0,INTERVENE,93,76,3.32,4.50,74,REINFORCE,41,73,0.44,1.50,29,WATCH,63,76,1.00,1.00,100,MODEL,0,76,37,76,0,76,0.00,1.00,0,INTERVENE,84,76,16,76,86,76,1.00,1.00,100,MODEL,34,0.34,1.00,34,WATCH,0,100,58,56
William L. Sayre High School,110,1100,HS,High School,5800 Walnut St.,Philadelphia,PA,19139,215-400-7800,215-400-7801,District,N/A,412,philasd.org/sayre,'9-12',Neighborhood,HS-2,Network 13,Network 13,,12,11.36,96.50,INTERVENE,8th out of 10,80th out of 85,0,0.00,28.50,INTERVENE,7th out of 7,72nd out of 72,18,6.84,38.00,INTERVENE,8th out of 10,73rd out of 85,21,4.21,20.00,INTERVENE,8th out of 10,80th out of 85,3,0.31,10.00,INTERVENE,8th out of 8,81st out of 82,1,197,0.00,8.00,0,INTERVENE,0,90,0,197,0.00,1.50,0,INTERVENE,3,113,0.00,8.00,0,INTERVENE,0,113,0.00,1.50,0,INTERVENE,11,123,0.00,8.00,0,INTERVENE,0,123,0.00,1.50,0,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,-4.27,0.00,6.50,0,INTERVENE,-0.10,1.95,6.50,30,WATCH,-2.91,0.00,6.50,0,INTERVENE,80,176,2.70,8.00,34,WATCH,44,34,0.49,6.00,8,INTERVENE,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,0.42,0.71,1.50,47,WATCH,0.98,0.99,1.50,66,REINFORCE,-1.55,0.00,1.50,0,INTERVENE,16,539,0.00,8.00,0,INTERVENE,17,539,15,539,13,539,39,539,78,325,1.89,6.00,32,WATCH,100,539,0.49,0.50,98,MODEL,78,539,0.65,2.50,26,WATCH,45,0.45,1.00,45,WATCH,62,0.62,1.00,62,REINFORCE,14,0.11,1.00,11,INTERVENE,53,103,0.00,4.50,0,INTERVENE,16,64,0.00,1.50,0,INTERVENE,0,74,0.00,1.00,0,INTERVENE,15,74,85,74,0,74,0.00,1.00,0,INTERVENE,45,74,55,74,27,74,0.04,1.00,4,INTERVENE,27,0.27,1.00,27,WATCH,0,97,70,49
Motivation High School,119,1190,HS,High School,5900 Baltimore Ave.,Philadelphia,PA,19143,215-400-7930,215-400-7931,District,N/A,401,philasd.org/motivationhs,'9-12',Special Admit,HS-1,Network 1,Network 1,,38,34.57,92.00,WATCH,5th out of 19,38th out of 85,8,2.45,30.00,INTERVENE,3rd out of 14,33rd out of 72,39,12.40,32.00,WATCH,6th out of 19,44th out of 85,83,16.62,20.00,MODEL,1st out of 19,14th out of 85,31,3.09,10.00,WATCH,8th out of 19,46th out of 82,5,120,0.00,8.00,0,INTERVENE,3,91,0,120,0.00,1.50,0,INTERVENE,12,104,0.00,8.00,0,INTERVENE,0,104,0.00,1.50,0,INTERVENE,27,91,0.75,8.00,9,INTERVENE,3,91,0.20,1.50,13,INTERVENE,16,38,1.50,1.50,100,MODEL,-4.54,0.00,6.50,0,INTERVENE,-1.31,0.00,6.50,0,INTERVENE,1.06,4.46,6.50,69,REINFORCE,95,258,6.66,8.00,83,MODEL,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-0.45,0.28,1.50,18,INTERVENE,0.58,0.79,1.50,53,REINFORCE,-0.56,0.22,1.50,15,INTERVENE,78,417,8.00,8.00,100,MODEL,15,417,4,417,1,417,1,417,85,363,5.91,6.00,99,MODEL,100,417,0.50,0.50,100,MODEL,92,417,1.82,2.50,73,REINFORCE,39,0.39,1.00,39,WATCH,0,0.00,1.00,0,INTERVENE,7,0.00,1.00,0,INTERVENE,85,88,1.84,4.50,41,WATCH,40,82,0.42,1.50,28,WATCH,1,84,0.00,1.00,0,INTERVENE,74,84,25,84,0,84,0.00,1.00,0,INTERVENE,94,84,6,84,58,84,0.67,1.00,67,REINFORCE,17,0.17,1.00,17,INTERVENE,0,71,64,32
South Philadelphia High School,200,2000,HS,High School,2101 S. Broad St.,Philadelphia,PA,19148,215-400-8400,215-400-8401,District,N/A,615,philasd.org/sphs,'9-12',Neighborhood,HS-4,Network 13,Network 13,,10,10.03,98.00,INTERVENE,8th out of 8,82nd out of 85,0,0.05,30.00,INTERVENE,8th out of 8,64th out of 72,9,3.42,38.00,INTERVENE,8th out of 8,83rd out of 85,31,6.29,20.00,WATCH,8th out of 8,75th out of 85,3,0.28,10.00,INTERVENE,8th out of 8,82nd out of 82,5,244,0.00,8.00,0,INTERVENE,2,104,1,244,0.05,1.50,3,INTERVENE,3,117,0.00,8.00,0,INTERVENE,0,117,0.00,1.50,0,INTERVENE,14,127,0.00,8.00,0,INTERVENE,0,127,0.00,1.50,0,INTERVENE,1,138,0.00,1.50,0,INTERVENE,-6.16,0.00,6.50,0,INTERVENE,-5.41,0.00,6.50,0,INTERVENE,-7.49,0.00,6.50,0,INTERVENE,82,299,3.10,8.00,39,WATCH,27,67,0.00,6.00,0,INTERVENE,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-1.15,0.00,1.50,0,INTERVENE,-0.36,0.32,1.50,21,INTERVENE,-4.15,0.00,1.50,0,INTERVENE,26,717,0.91,8.00,11,INTERVENE,19,717,13,717,10,717,33,717,79,574,2.56,6.00,43,WATCH,99,717,0.47,0.50,94,MODEL,86,717,1.29,2.50,52,REINFORCE,40,0.40,1.00,40,WATCH,65,0.65,1.00,65,REINFORCE,10,0.00,1.00,0,INTERVENE,55,176,0.00,4.50,0,INTERVENE,27,104,0.05,1.50,3,INTERVENE,8,135,0.00,1.00,0,INTERVENE,15,135,77,135,0,135,0.00,1.00,0,INTERVENE,52,135,48,135,24,135,0.00,1.00,0,INTERVENE,22,0.22,1.00,22,INTERVENE,0,100,65,40
Benjamin Franklin High School,201,2010,HS,High School,550 N. Broad St.,Philadelphia,PA,19130,215-400-7600,215-400-7601,District,N/A,424,philasd.org/bfhs,'9-12',Neighborhood,HS-1,Network 3,Network 4,,12,11.79,98.00,INTERVENE,17th out of 19,79th out of 85,2,0.72,30.00,INTERVENE,6th out of 14,49th out of 72,17,6.56,38.00,INTERVENE,16th out of 19,76th out of 85,20,3.93,20.00,INTERVENE,18th out of 19,82nd out of 85,6,0.58,10.00,INTERVENE,17th out of 19,77th out of 82,4,192,0.00,8.00,0,INTERVENE,4,91,0,192,0.00,1.50,0,INTERVENE,6,93,0.00,8.00,0,INTERVENE,1,93,0.06,1.50,4,INTERVENE,14,111,0.00,8.00,0,INTERVENE,0,111,0.00,1.50,0,INTERVENE,9,32,0.66,1.50,44,WATCH,-4.25,0.00,6.50,0,INTERVENE,-0.02,2.12,6.50,33,WATCH,-2.29,0.00,6.50,0,INTERVENE,76,187,1.58,8.00,20,INTERVENE,44,50,0.48,6.00,8,INTERVENE,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,0.75,0.88,1.50,58,REINFORCE,2.50,1.50,1.50,100,MODEL,-2.02,0.00,1.50,0,INTERVENE,18,510,0.00,8.00,0,INTERVENE,17,510,13,510,10,510,42,510,78,370,2.03,6.00,34,WATCH,100,510,0.50,0.50,100,MODEL,81,510,0.95,2.50,38,WATCH,45,0.45,1.00,45,WATCH,0,0.00,1.00,0,INTERVENE,3,0.00,1.00,0,INTERVENE,58,124,0.00,4.50,0,INTERVENE,17,87,0.00,1.50,0,INTERVENE,10,89,0.00,1.00,0,INTERVENE,7,89,83,89,2,89,0.00,1.00,0,INTERVENE,67,89,30,89,40,89,0.31,1.00,31,WATCH,27,0.27,1.00,27,WATCH,0,91,64,46
High School for Creative and Performing Arts,202,2020,HS,High School,901 S. Broad St.,Philadelphia,PA,19147,215-400-8140,215-400-8141,District,N/A,747,philasd.org/capa,'9-12',Special Admit,HS-5,Network 1,Network 1,,46,41.91,90.50,WATCH,9th out of 14,28th out of 85,32,9.05,28.50,WATCH,6th out of 14,15th out of 72,27,8.64,32.00,WATCH,12th out of 14,60th out of 85,87,17.43,20.00,MODEL,3rd out of 14,8th out of 85,68,6.80,10.00,REINFORCE,5th out of 14,10th out of 82,22,247,0.19,8.00,2,INTERVENE,25,156,5,247,0.32,1.50,21,INTERVENE,40,164,2.02,8.00,25,WATCH,12,164,0.73,1.50,49,WATCH,75,166,5.47,8.00,68,REINFORCE,5,166,0.33,1.50,22,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,-9.62,0.00,6.50,0,INTERVENE,-4.64,0.00,6.50,0,INTERVENE,-0.97,0.07,6.50,1,INTERVENE,99,540,7.80,8.00,98,MODEL,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-5.42,0.00,1.50,0,INTERVENE,-0.95,0.03,1.50,2,INTERVENE,0.49,0.75,1.50,50,REINFORCE,75,751,8.00,8.00,100,MODEL,17,751,4,751,1,751,3,751,98,719,6.00,6.00,100,MODEL,100,751,0.50,0.50,100,MODEL,98,751,2.35,2.50,94,MODEL,58,0.58,1.00,58,REINFORCE,0,0.00,1.00,0,INTERVENE,9,0.00,1.00,0,INTERVENE,96,179,3.70,4.50,82,MODEL,72,172,1.28,1.50,86,MODEL,23,178,0.33,1.00,33,WATCH,47,178,30,178,22,178,0.30,1.00,30,WATCH,65,178,13,178,80,178,1.00,1.00,100,MODEL,19,0.19,1.00,19,INTERVENE,12,79,69,37
Julia R. Masterman School,214,2140,HS,High School,1699 Spring Garden St.,Philadelphia,PA,19130,215-400-7580,215-400-7581,District,N/A,463,philasd.org/masterman,'9-12',Special Admit,HS-6,Network 1,Network 1,,78,63.35,81.00,MODEL,3rd out of 10,4th out of 85,100,19.00,19.00,MODEL,1st out of 10,1st out of 72,54,17.41,32.00,REINFORCE,6th out of 10,30th out of 85,88,17.66,20.00,MODEL,4th out of 10,7th out of 85,93,9.28,10.00,MODEL,1st out of 10,1st out of 82,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,100,120,8.00,8.00,100,MODEL,91,120,1.50,1.50,100,MODEL,100,114,8.00,8.00,100,MODEL,59,114,1.50,1.50,100,MODEL,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,-3.12,0.00,6.50,0,INTERVENE,5.40,6.50,6.50,100,MODEL,-0.66,0.74,6.50,11,INTERVENE,100,353,8.00,8.00,100,MODEL,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-4.16,0.00,1.50,0,INTERVENE,2.94,1.50,1.50,100,MODEL,0.35,0.68,1.50,45,WATCH,87,463,8.00,8.00,100,MODEL,10,463,2,463,1,463,0,463,99,460,6.00,6.00,100,MODEL,100,463,0.50,0.50,100,MODEL,100,463,2.50,2.50,100,MODEL,66,0.66,1.00,66,REINFORCE,0,0.00,1.00,0,INTERVENE,10,0.00,1.00,0,INTERVENE,100,110,4.50,4.50,100,MODEL,95,110,1.50,1.50,100,MODEL,88,110,1.00,1.00,100,MODEL,9,110,3,110,99,110,1.00,1.00,100,MODEL,1,110,0,110,97,110,1.00,1.00,100,MODEL,28,0.28,1.00,28,WATCH,70,30,69,59
